
ID,Category,Pos_s,Pos_e,Privacy
65,name,26,45,小鑫。工作事宜请联系新浪认证微博@刘奕辰
65,name,26,27,小鑫
65,name,43,45,刘奕辰
65,email,53,76,liuyichen@trmusic.com.cn
65,organization,6,10,MIC男团
65,organization,84,88,MIC男团
66,government,70,84,河南省清丰县公安局韩村乡派出所
66,position,85,86,科员
67,name,0,1,梁涛
67,position,19,20,处长
67,organization,22,37,新疆维吾尔自治区文物古迹保护中心
67,government,3,18,新疆维吾尔自治区文物局文物保护处
67,position,38,39,主任
67,position,41,42,书记
67,government,45,54,新疆文物局文物保护处
67,position,55,56,处长
67,organization,58,67,新疆文物古迹保护中心
67,position,68,69,主任
67,position,71,72,书记
67,name,73,74,梁涛
68,organization,0,8,中国国家画院国画院
68,organization,13,22,中国美协中国画艺委会
68,position,23,25,副主任
68,position,27,36,中国美协河山画会会长
68,position,38,51,李可染艺术基金会名誉副理事长
68,position,53,64,中国国家画院国画院副院长
68,organization,66,75,中国美协中国画艺委会
68,organization,80,87,中国美协河山画会
68,position,88,89,会长
68,position,9,11,副院长
69,position,2,4,籃球人
69,name,28,30,阿笨哥
69,email,31,50,aben@alegendstar.com
69,mobile,51,61,02-27627111
69,position,63,64,歌手
69,position,66,68,主持人
70,organization,0,3,清华大学
70,position,4,6,副教授
70,position,54,60,清华大学副教授
70,position,72,74,创始人
70,name,75,76,唐杰
70,company,8,17,Arnetminer
71,movie,28,34,《中国兄弟连》
71,movie,35,40,《中国骑兵》
71,movie,41,46,《抗日奇侠》
71,name,58,59,水鸿
71,mobile,60,70,18610024429
71,position,72,73,演员
71,name,74,76,李嘉明
72,email,3,18,dicky@vip.qq.com
72,company,58,63,翼图摄影机构
72,position,64,67,执行总监
72,position,69,74,STAR总监
72,position,76,89,DSLR人像摄影实战宝典作者
73,address,20,26,海南省五指山市
73,position,62,68,五指山市志愿者
73,position,88,89,专员
74,address,1,2,韩国
74,name,11,14,Moon
74,name,12,14,oon
74,address,17,18,欧洲
74,name,20,25,Grubby
74,game,31,35,《阿凡龙》
75,position,0,1,法王
75,address,21,22,印度
75,address,4,8,喜马拉雅山
75,name,79,82,嘉旺竹巴
76,company,0,12,营口瑞祥徳食品工业有限公司
76,position,13,15,董事长
76,company,16,28,营口立信房地产顾问有限公司
76,position,29,31,董事长
76,organization,32,40,营口房地产中介协会
76,position,41,42,会长
76,company,59,69,立信房地产顾问有限公司
76,position,70,72,董事长
77,scene,127,129,世博园
77,address,145,146,北京
77,address,167,169,cbd
77,scene,171,173,百子湾
77,scene,175,178,朝阳公园
77,scene,180,182,中关村
77,book,187,194,《电脑游戏攻略》
77,company,205,206,立博
77,company,221,224,snai
77,company,233,236,toto
77,organization,257,259,克卢日
77,organization,262,263,罗马
77,company,274,275,威廉
77,company,300,301,成钢
77,movie,40,48,《黑帮有个好莱坞》
77,name,49,51,秦尊文
77,organization,85,86,体彩
77,organization,88,89,福彩
77,scene,95,97,世博园
78,name,12,13,莉莉
78,mobile,15,25,13146538056
78,name,27,29,唐宮燕
78,name,65,67,刘海戲
78,name,68,70,金蟾…
78,position,72,73,演员
78,name,74,76,陈威翰
78,position,78,81,知名艺人
78,movie,87,94,＜兔儿神弄姻缘＞
78,name,97,99,兔儿神
79,position,0,3,爱情导师
79,book,10,14,《睿财经》
79,book,10,13,《睿财经
79,position,15,16,主编
79,email,48,63,759941206@qq.com
79,QQ,67,75,110125679
79,position,77,84,情感两性专栏作家
79,position,8,9,专家
80,movie,15,21,《神奇愿望岛》
80,movie,22,30,《小虫虫有大智慧》
80,movie,35,39,《彩之南》
80,position,4,5,编剧
80,position,59,60,编剧
80,name,61,62,郭延
80,movie,66,73,《憨八龟的故事》
80,movie,81,85,《彩之南》
80,movie,9,14,《欢乐之城》
81,company,13,19,楼兰摄影工作室
81,position,20,23,摄影总监
82,position,5,7,摄影师
82,position,82,84,摄影师
82,name,85,86,张雨
83,scene,0,3,泗水古国
83,address,10,13,运河新城
83,address,15,18,宜居家园
83,address,28,29,泗阳
83,mobile,60,70,13951193212
83,company,72,85,江苏省泗阳县招商局新产业分局
83,position,86,87,局长
84,address,13,17,德克萨斯州
84,name,2,4,柯英豪
84,government,21,27,美国驻华大使馆
84,position,21,32,美国驻华大使馆新闻发言人
84,position,50,61,美国驻华大使馆新闻发言人
84,name,62,64,柯英豪
84,address,8,11,美国南部
85,company,0,1,三星
85,game,13,15,DNF
85,organization,2,4,WCG
85,movie,23,26,指环王》
86,position,60,66,佛光山开山宗长
87,name,0,2,黄庭坚
87,book,10,14,《洛神赋》
87,position,125,128,指导教师
87,address,130,134,中央电教馆
87,name,137,138,专家
87,company,150,153,渣打银行
87,company,156,159,花旗银行
87,position,179,180,记者
87,game,202,203,魔兽
87,name,36,37,草圣
87,name,39,40,张旭
87,address,50,51,国贸
87,government,63,77,美国航空航天局nasaapod
87,name,7,9,赵孟頫
88,organization,0,8,全国体育舞蹈锦标赛
88,position,25,26,选手
88,position,67,68,客服
88,mobile,70,80,13651889566
89,address,0,1,香港
89,movie,13,20,狄仁杰之通天帝國
89,organization,55,62,香港电影美术学会
89,movie,68,77,《狄仁杰之通天帝国》
89,movie,79,84,《遍地狼烟》
89,movie,89,94,《宫锁珠帘》
89,position,95,98,美术指导
90,book,0,4,雅昌艺术网
90,organization,51,57,北京永昌美术馆
90,position,58,59,馆长
90,name,6,8,张国辉
90,position,61,71,民革中央画院教培部主任
90,organization,61,66,民革中央画院
91,organization,0,1,国米
91,organization,6,7,罗马
91,name,9,12,莫里尼奥
92,position,100,104,首席摄影师
92,name,105,106,胥坚
92,QQ,21,29,840961635
92,mobile,33,51,8660677013851946102
92,QQ,5,14,1607216798
93,position,68,74,儿童歌曲创作人
93,name,75,76,彭野
94,book,0,4,《华尔街》
94,book,13,22,《陈志武说中国经济》
94,book,23,26,《做单》
94,movie,27,33,《富豪俱乐部》
94,movie,34,42,《拆掉思维里的墙》
94,movie,43,50,《打捞中国愤青》
94,book,5,12,《季羡林自选集》
94,movie,51,56,《高盛阴谋》
94,book,57,62,《麦家文集》
94,position,73,76,操作策划
94,movie,86,91,《麦家文集》
94,movie,93,97,《华尔街》
95,position,0,4,畅销书作家
95,movie,14,18,《官心病》
95,movie,19,22,《官赌》
95,movie,23,28,《机关男人》
95,movie,29,34,《小心女人》
95,movie,35,40,《政治生命》
95,movie,41,56,《孩子，爸爸其实不想和妈妈离婚》
95,movie,57,62,《百年关东》
95,movie,63,67,《派出所》
95,position,71,79,吉林省作家协会会员
95,movie,8,13,《并非桃色》
96,game,129,132,DOTA
96,game,178,183,《逍遥传说》
96,organization,2,3,挪威
96,position,227,229,硕士生
96,name,230,231,李乐
96,company,233,236,西南证券
96,position,237,239,董事长
96,name,248,250,陆慧明
96,organization,256,258,雷吉纳
96,organization,26,27,荷兰
96,organization,263,265,紫百合
96,name,35,37,徐东华
96,position,47,49,王主任
96,organization,6,7,荷兰
96,position,68,69,专长
96,organization,86,88,巴勒莫
96,organization,91,93,雷吉纳
97,address,28,29,日本
98,government,67,81,上海易居房地产研究院发展研究所
98,position,82,83,所长
99,position,4,7,特教教师
99,position,66,72,本溪市道德模范
100,position,12,13,记者
100,address,3,4,香港
101,position,0,3,香港演員
101,company,27,36,誠信娛樂發展有限公司
101,mobile,40,51,852-25201186
101,mobile,53,64,852-92677102
101,email,67,86,lplpent@yahoo.com.hk
101,position,88,91,香港演员
101,name,92,94,邓萃雯
102,game,15,18,星际争霸
102,company,2,3,暴雪
102,book,51,55,世界体育报
103,book,19,28,《中小学生环境教育》
103,book,2,14,《国外城市治理变革与经验》
103,movie,32,51,《青少年未来领袖CEO成长书系﹒创意商》
103,book,53,65,《北京精神北京故事连环画》
103,government,69,88,北京市市政市容管理委员会固体废弃物管理处
103,position,89,91,副处长
104,position,12,15,动作导演
104,movie,25,28,≪墨仙≫
104,movie,30,35,≪倾世皇妃≫
104,movie,38,41,≪三国≫
104,movie,44,48,≪上海滩≫
104,movie,50,56,≪楚留香传奇≫
104,movie,58,64,≪大旗英雄传≫
104,movie,66,71,≪神雕侠侣≫
104,movie,74,77,《三国》
104,position,78,81,动作导演
104,name,82,83,林峰
105,government,124,127,人民银行
105,government,129,131,保监会
105,name,140,141,胡蝶
105,name,145,147,阮玲玉
105,movie,166,170,《白云塔》
105,game,19,23,魔兽争霸3
105,company,207,212,深圳发展银行
105,position,213,215,副行长
105,name,216,218,刘宝瑞
105,name,231,233,梁羽生
105,book,235,241,《草莽龙蛇传》
105,name,31,33,贝蒂斯
105,organization,38,39,瓦伦
105,government,75,82,张家口崇礼县政府
105,position,83,85,副县长
105,name,86,88,于有斌
105,government,89,96,住房公积金监管司
106,organization,0,6,中国摄影家协会
106,organization,36,42,中国摄影家协会
106,position,36,44,中国摄影家协会会员
106,position,46,48,摄影师
106,name,49,51,王新霞
106,movie,57,62,《两小无猜》
106,position,9,13,职业摄影师
107,vx,4,12,cxiaoc520
107,position,67,71,邮票收藏家
108,government,67,74,天津公安南开分局
108,name,75,76,李浩
109,position,64,67,总会计师
109,company,69,77,中铁四局集团一公司
109,address,79,82,新桥机场
109,position,87,92,项目总会计师
109,name,93,94,徐琦
110,position,2,9,投资理财实战专家
110,name,23,24,邹涛
110,position,29,33,首席研究员
110,name,46,47,邹涛
110,position,48,53,投资法创始人
110,position,55,61,知名社会活动家
110,position,57,61,社会活动家
110,position,7,9,战专家
110,name,75,76,邹涛
110,position,77,82,投资法创始人
110,position,89,92,战型专家
110,organization,94,101,新浪微公益爱心团
111,mobile,54,64,15542576666
111,company,6,9,众知传媒
111,company,66,77,众知传媒（大连）有限公司
111,position,78,80,总经理
112,position,67,71,执行制片人
112,organization,73,76,导演协会
113,book,0,1,商报
113,government,100,105,国家体育总局
113,company,17,19,农商行
113,position,4,5,记者
113,name,6,8,崔吕萍
113,book,73,77,《后汉书》
113,organization,94,96,ief
114,game,2,5,WAR3
114,position,21,24,职业选手
115,position,0,7,美域话剧团副团长
115,position,18,19,社长
115,position,21,25,话剧制作人
115,position,23,25,制作人
115,name,43,45,黄立行
115,movie,47,51,＜＜雷雨＞
115,name,55,57,周朴园
115,position,60,69,天津美域话剧团副团长
115,name,70,71,孙亮
115,organization,9,17,美域话剧团先农剧社
116,position,0,5,国家一级演员
116,organization,17,24,陕西省戏曲研究院
116,position,25,33,青年实验团艺术指导
116,organization,56,61,兰州交通大学
116,position,68,73,国家一级演员
117,organization,42,49,陕西省摄影家协会
117,government,54,69,陕西渭南市公安局临渭分局网监大队
117,name,70,72,李汉东
118,position,69,80,中国现代贵金属币章收藏家
118,name,82,83,赵涌
118,position,86,89,高级顾问
119,company,21,30,搜房网中房指数办公室
119,position,31,33,副主任
119,company,36,41,焦点房地产网
119,company,45,46,搜狐
119,company,53,56,新浪乐居
119,position,57,62,内容架构总监
119,company,72,85,北京爱泰比邻科技有限责任公司
119,position,86,88,董事长
119,organization,90,92,全经联
119,position,93,96,副秘书长
120,email,11,26,pinky960@163.com
120,position,55,56,作家
120,movie,64,69,《无爱承欢》
120,movie,70,74,《步步错》
120,movie,75,79,《遗爱记》
121,government,64,75,西藏丁青县人民法院办公室
121,position,76,78,书记员
121,name,79,80,周驰
122,book,17,23,《动感新资讯》
122,organization,46,53,TOTAL动漫社
122,email,54,65,totalacg.com
123,company,0,3,东仑传媒
123,position,23,25,董事长
123,name,34,35,小刚
123,mobile,39,49,18611447322
123,name,58,60,李先生
123,mobile,61,71,13822132835
123,position,73,74,演员
123,movie,75,78,《闪婚》
123,company,8,22,北京中泰弘影视文化发展有限公司
123,name,82,83,古丽
123,movie,85,91,《还珠格格1》
123,name,95,96,彩霞
125,game,110,113,War3
125,game,118,121,DotA
125,game,12,18,《上古卷轴4》
125,address,207,217,广州货币金融博物馆新馆
125,government,43,56,住房和城乡建设部政策研究中心
125,position,57,59,副主任
125,name,60,62,王珏林
125,book,64,71,《每日经济新闻》
125,company,88,92,Valve
126,company,0,11,studiox摄影工作室
126,mobile,42,52,13701393109
126,book,59,65,嘉人瑞丽风尚志
126,book,66,71,精品购物指南
126,position,74,78,时尚摄影师
126,name,79,81,夏彬如
126,company,83,88,X摄影工作室
126,position,89,91,创办人
127,book,0,3,最世文化
127,email,30,45,kaka@zuibook.com
127,book,4,8,《最小说》
127,company,52,63,上海最世文化发展有限公司
127,position,64,67,首席文编
128,position,11,15,电视评论员
128,movie,19,22,《背后》
128,movie,23,29,《小艾向前冲》
128,movie,30,35,《灵魂之尘》
128,movie,36,43,《不纠结的情路》
128,movie,48,52,《小希望》
128,movie,54,57,《折腾》
128,position,63,64,作家
128,name,65,66,陈岚
128,movie,71,74,《背后》
128,position,8,9,作家
129,address,0,16,四川省阿坝州马尔康县松岗镇莫斯都村
129,scene,17,21,扎西杨果寺
129,scene,23,27,根巴美多寺
129,address,60,65,四川省阿坝州
130,game,9,14,《逍遥传说》
131,position,13,14,模特
131,company,23,31,Elite经纪公司
131,position,34,35,模特
131,email,40,61,elitemodellook@163.com
131,company,86,95,EliteChina
131,position,98,99,模特
132,company,67,72,云南圣灵集团
132,position,73,75,董事长
133,organization,24,29,香港理工大學
133,name,39,41,董之英
133,organization,69,75,香港飞马足球队
133,position,76,77,球员
133,name,78,80,李灵峰
134,company,0,3,中国人寿
134,government,100,101,美军
134,address,105,106,成都
134,position,110,112,营业员
134,government,124,127,锦江警方
134,company,14,19,广东发展银行
134,company,147,150,忠清银行
134,company,159,162,宝林银行
134,company,170,177,安联保险股份公司
134,game,209,213,星际争霸2
134,company,32,33,银联
134,company,57,58,世嘉
134,company,6,12,深圳市商业银行
134,company,64,69,黑曜石工作室
134,movie,81,87,《阿尔法协议》
135,position,11,12,队长
135,name,13,15,Boa
135,game,21,26,《特种部队》
135,scene,40,45,北沙奇圣母庙
135,scene,56,59,阿贡火山
135,scene,77,80,阿贡母庙
135,scene,87,90,李白故里
135,scene,92,95,太白碑林
136,position,15,18,公安版主
136,position,24,27,永安警长
136,government,59,76,广东省佛山市公安局禅城分局永安派出所
136,position,77,79,第一任
136,position,81,84,永安警长
136,name,86,88,廖海飙
137,mobile,18,29,021-60767976
137,email,36,52,yangju@tldr93.com
137,company,57,68,太立德仁公关广告传播集团
137,position,75,77,总经理
138,name,0,1,徐克
138,position,2,3,导演
138,position,20,21,导演
138,name,37,38,周迅
138,scene,46,48,海豚岛
138,scene,46,61,海豚岛moretonisland
138,scene,49,61,moretonisland
138,movie,7,12,《女人不坏》
139,position,0,4,电影摄影师
139,movie,15,20,《孤胆少年》
139,movie,21,26,《引狼入室》
139,movie,27,33,《饭团狂想曲》
139,movie,34,40,《荷花三娘子》
139,movie,41,44,《莲锁》
139,movie,45,48,《莲香》
139,position,65,69,电影摄影师
139,movie,7,14,《蔡李佛-宗师》
139,movie,74,81,《蔡李佛-宗师》
139,movie,82,88,《饭团狂想曲》
139,movie,89,94,《孤胆少年》
140,name,79,81,崔曼莉
140,position,83,84,作家
140,movie,88,91,《浮沉》
140,movie,92,97,《琉璃时代》
140,movie,98,104,《卡卡的信仰》
141,book,103,121,《土耳其纳斯丁.霍渣国际漫画比赛画册》
